#    Z                A               B               C                     sigma_A      sigma_B      sigma_C  
  4.2000e-03 	  2.5837e-03 	  7.9992e+00 	  4.2592e-01    	  3.6734e-04   1.4253e-01   8.0980e-03 
  4.3000e-03 	  2.5944e-03 	  8.0016e+00 	  4.2625e-01    	  3.7009e-04   1.4301e-01   8.1363e-03 
  4.4000e-03 	  2.6068e-03 	  8.0032e+00 	  4.2662e-01    	  3.7285e-04   1.4337e-01   8.1703e-03 
  4.5000e-03 	  2.6216e-03 	  8.0038e+00 	  4.2704e-01    	  3.7600e-04   1.4376e-01   8.2074e-03 
  4.6000e-03 	  2.6358e-03 	  8.0044e+00 	  4.2744e-01    	  3.7907e-04   1.4415e-01   8.2436e-03 
  4.7000e-03 	  2.6510e-03 	  8.0045e+00 	  4.2785e-01    	  3.8248e-04   1.4460e-01   8.2846e-03 
  4.8000e-03 	  2.6564e-03 	  8.0082e+00 	  4.2803e-01    	  3.8446e-04   1.4505e-01   8.3167e-03 
  4.9000e-03 	  2.6725e-03 	  8.0077e+00 	  4.2846e-01    	  3.8770e-04   1.4539e-01   8.3517e-03 
  5.0000e-03 	  2.6904e-03 	  8.0064e+00 	  4.2892e-01    	  3.9115e-04   1.4572e-01   8.3875e-03 
  5.1000e-03 	  2.7045e-03 	  8.0065e+00 	  4.2928e-01    	  3.9429e-04   1.4609e-01   8.4229e-03 
  5.2000e-03 	  2.7191e-03 	  8.0063e+00 	  4.2966e-01    	  3.9759e-04   1.4653e-01   8.4622e-03 
  5.3000e-03 	  2.7275e-03 	  8.0083e+00 	  4.2988e-01    	  4.0000e-04   1.4697e-01   8.4960e-03 
  5.4000e-03 	  2.7452e-03 	  8.0068e+00 	  4.3031e-01    	  4.0345e-04   1.4726e-01   8.5295e-03 
  5.5000e-03 	  2.7630e-03 	  8.0051e+00 	  4.3075e-01    	  4.0704e-04   1.4759e-01   8.5658e-03 
  5.6000e-03 	  2.7766e-03 	  8.0049e+00 	  4.3108e-01    	  4.1015e-04   1.4798e-01   8.6018e-03 
  5.7000e-03 	  2.7954e-03 	  8.0028e+00 	  4.3153e-01    	  4.1354e-04   1.4821e-01   8.6322e-03 
  5.8000e-03 	  2.8081e-03 	  8.0028e+00 	  4.3183e-01    	  4.1648e-04   1.4857e-01   8.6657e-03 
  5.9000e-03 	  2.8262e-03 	  8.0008e+00 	  4.3225e-01    	  4.1984e-04   1.4881e-01   8.6963e-03 
  6.0000e-03 	  2.8387e-03 	  8.0007e+00 	  4.3257e-01    	  4.2228e-04   1.4900e-01   8.7198e-03 
  6.1000e-03 	  2.8619e-03 	  7.9978e+00 	  4.3319e-01    	  4.2501e-04   1.4875e-01   8.7279e-03 
  6.2000e-03 	  2.9440e-03 	  7.9746e+00 	  4.3490e-01    	  4.4171e-04   1.5028e-01   8.8879e-03 
  6.3000e-03 	  2.9827e-03 	  7.9664e+00 	  4.3589e-01    	  4.4762e-04   1.5032e-01   8.9266e-03 
  6.4000e-03 	  3.0115e-03 	  7.9617e+00 	  4.3664e-01    	  4.5227e-04   1.5041e-01   8.9599e-03 
  6.5000e-03 	  3.0418e-03 	  7.9564e+00 	  4.3740e-01    	  4.5706e-04   1.5049e-01   8.9932e-03 
  6.6000e-03 	  3.0682e-03 	  7.9523e+00 	  4.3808e-01    	  4.6139e-04   1.5063e-01   9.0264e-03 
  6.7000e-03 	  3.0893e-03 	  7.9500e+00 	  4.3864e-01    	  4.6536e-04   1.5084e-01   9.0605e-03 
  6.8000e-03 	  3.1574e-03 	  7.9326e+00 	  4.3992e-01    	  4.8134e-04   1.5267e-01   9.2257e-03 
  6.9000e-03 	  3.1695e-03 	  7.9331e+00 	  4.4027e-01    	  4.8410e-04   1.5294e-01   9.2550e-03 
  7.0000e-03 	  3.1829e-03 	  7.9330e+00 	  4.4063e-01    	  4.8715e-04   1.5328e-01   9.2885e-03 
  7.1000e-03 	  3.1932e-03 	  7.9339e+00 	  4.4092e-01    	  4.9004e-04   1.5367e-01   9.3230e-03 
  7.2000e-03 	  3.1992e-03 	  7.9360e+00 	  4.4112e-01    	  4.9231e-04   1.5407e-01   9.3548e-03 
  7.3000e-03 	  3.2012e-03 	  7.9393e+00 	  4.4123e-01    	  4.9394e-04   1.5447e-01   9.3830e-03 
  7.4000e-03 	  3.2041e-03 	  7.9422e+00 	  4.4134e-01    	  4.9563e-04   1.5488e-01   9.4114e-03 
  7.5000e-03 	  3.2554e-03 	  7.9301e+00 	  4.4220e-01    	  5.1039e-04   1.5698e-01   9.5796e-03 
  7.6000e-03 	  3.2521e-03 	  7.9348e+00 	  4.4218e-01    	  5.1155e-04   1.5746e-01   9.6084e-03 
  7.7000e-03 	  3.2485e-03 	  7.9394e+00 	  4.4215e-01    	  5.1265e-04   1.5798e-01   9.6382e-03 
  7.8000e-03 	  3.2425e-03 	  7.9448e+00 	  4.4206e-01    	  5.1334e-04   1.5850e-01   9.6654e-03 
  7.9000e-03 	  3.2305e-03 	  7.9519e+00 	  4.4185e-01    	  5.1365e-04   1.5913e-01   9.6955e-03 
  8.0000e-03 	  3.2171e-03 	  7.9594e+00 	  4.4160e-01    	  5.1315e-04   1.5964e-01   9.7160e-03 
  8.1000e-03 	  3.2558e-03 	  7.9514e+00 	  4.4229e-01    	  5.1835e-04   1.5933e-01   9.7290e-03 
  8.2000e-03 	  3.2871e-03 	  7.9458e+00 	  4.4286e-01    	  5.2277e-04   1.5915e-01   9.7442e-03 
  8.3000e-03 	  3.3111e-03 	  7.9424e+00 	  4.4329e-01    	  5.2609e-04   1.5901e-01   9.7555e-03 
  8.4000e-03 	  3.3339e-03 	  7.9394e+00 	  4.4371e-01    	  5.2934e-04   1.5888e-01   9.7667e-03 
  8.5000e-03 	  3.3478e-03 	  7.9390e+00 	  4.4396e-01    	  5.3155e-04   1.5887e-01   9.7781e-03 
  8.6000e-03 	  3.3615e-03 	  7.9386e+00 	  4.4421e-01    	  5.3383e-04   1.5891e-01   9.7922e-03 
  8.7000e-03 	  3.3722e-03 	  7.9391e+00 	  4.4442e-01    	  5.3578e-04   1.5896e-01   9.8053e-03 
  8.8000e-03 	  3.3765e-03 	  7.9414e+00 	  4.4451e-01    	  5.3697e-04   1.5910e-01   9.8182e-03 
