M 1H 3He 4He 12C 13C 14N 15N 16O 17O 18O 20Ne 22Ne 24Mg 28Si 32S 40Ca 56Fe Mr
6 3.22 1.70E-04 1.48 2.42E-04 1.48E-05 5.23E-04 1.82E-07 8.12E-04 3.94E-06 1.35E-06 1.93E-05 5.13E-06 NaN NaN NaN NaN NaN 1.30
7 3.68 1.45E-04 2.00 2.67E-04 1.71E-05 7.25E-04 2.02E-07 9.10E-04 4.37E-06 1.49E-06 2.34E-05 5.99E-06 NaN NaN NaN NaN NaN 1.30
9 4.57 1.22E-04 2.63 8.97E-02 2.27E-05 9.31E-04 7.16E-06 0.140 4.78E-06 2.43E-05 9.43E-03 2.96E-05 5.61E-03 3.08E-02 1.38E-02 2.60E-03 0.155 1.35
12 5.77 9.50E-05 3.45 0.170 2.91E-05 1.28E-03 3.58E-05 0.671 5.09E-06 2.97E-05 0.108 3.82E-05 2.91E-02 8.63E-02 4.39E-02 7.91E-03 0.157 1.50
15 6.86 8.02E-05 4.16 0.214 3.58E-05 1.50E-03 7.45E-05 1.41 5.80E-06 7.57E-05 9.92E-02 6.44E-05 2.68E-02 0.200 0.118 1.57E-02 9.59E-02 1.80
20 8.51 5.83E-05 5.24 0.284 4.21E-05 2.18E-03 1.29E-04 3.03 5.66E-06 3.01E-06 9.99E-02 5.64E-05 7.59E-02 0.340 0.172 1.63E-02 0.157 2.07
30 11.54 2.59E-05 7.22 0.350 4.49E-05 3.33E-03 6.14E-05 3.15 1.03E-05 1.34E-04 0.616 2.25E-04 0.130 1.21E-02 2.90E-04 2.42E-05 4.39E-04 6.98
40 14.33 1.73E-05 9.26 0.339 5.00E-05 4.86E-03 6.15E-07 0.824 1.71E-05 3.60E-06 0.271 9.69E-05 5.43E-02 3.08E-04 1.87E-04 2.83E-05 5.52E-04 14.91
60 20.01 1.09E-05 14.60 0.510 8.04E-05 7.57E-03 8.86E-07 0.288 3.08E-05 3.31E-06 1.14E-03 4.64E-04 3.34E-04 4.63E-04 2.81E-04 4.24E-05 8.29E-04 24.58
100 28.07 5.20E-05 23.46 0.719 2.20E-04 1.08E-02 1.21E-06 13.95 1.52E-05 7.60E-06 1.00 2.12E-04 0.718 6.73E-03 4.08E-03 6.18E-04 1.21E-03 32.06
120 32.80 5.05E-05 33.25 1.97 1.77E-04 1.58E-02 1.86E-06 19.16 5.69E-05 8.80E-06 1.33 3.03E-04 0.867 9.21E-04 5.58E-04 8.44E-05 1.65E-03 30.60
150 59.51 6.60E-05 20.95 1.31 8.88E-05 2.67E-03 7.32E-06 38.02 6.30E-06 3.63E-05 1.80 3.08E-04 1.60 16.00 8.90 1.30 0.612 0
200 79.82 8.80E-05 28.90 0.840 1.18E-04 1.46E-02 9.76E-06 34.02 8.40E-06 4.84E-05 1.50 4.10E-04 1.50 23.00 15.00 2.40 13.00 0
300 152.7 1.32E-04 129.1 1.48E-02 1.78E-04 4.48E-02 1.46E-05 3.17E-02 1.26E-05 7.27E-05 8.61E-03 1.16E-03 2.66E-03 3.68E-03 2.23E-03 3.38E-04 6.60E-03 18.00
500 292.2 2.20E-04 186.6 2.47E-02 2.96E-04 7.75E-02 2.44E-05 5.28E-02 2.10E-05 1.21E-04 1.46E-02 1.97E-03 4.52E-03 6.26E-03 3.79E-03 5.74E-04 1.12E-02 21.00
1000 596.2 4.40E-04 382.4 4.94E-02 5.92E-04 0.162 4.88E-05 0.106 4.20E-05 2.42E-04 2.99E-02 4.02E-03 9.24E-03 1.28E-02 7.75E-03 1.17E-03 2.29E-02 21.00
