M 1H 3He 4He 12C 13C 14N 15N 16O 17O 18O 20Ne 22Ne 24Mg 28Si 32S 40Ca 56Fe Mr
6 2.49 3.37E-04 1.97 4.03E-02 2.08E-03 4.39E-02 3.02E-05 0.111 1.66E-03 2.21E-04 2.41E-03 6.42E-04 NaN NaN NaN NaN NaN 1.30
7 2.88 3.59E-04 2.53 4.61E-02 2.51E-03 6.13E-02 3.38E-05 0.129 1.99E-03 2.53E-04 2.92E-03 7.49E-04 NaN NaN NaN NaN NaN 1.30
9 3.45 4.06E-04 3.45 0.111 3.19E-03 8.79E-02 7.73E-05 0.283 2.52E-03 2.14E-03 3.49E-02 3.74E-03 1.16E-02 9.26E-02 7.55E-02 1.42E-02 6.61E-02 1.31
12 4.25 4.92E-04 4.46 0.225 3.81E-03 0.116 1.44E-04 0.895 2.77E-03 5.47E-03 0.168 4.73E-03 3.83E-02 0.124 6.51E-02 1.05E-02 0.129 1.49
15 5.02 5.74E-04 5.22 0.329 4.79E-03 0.136 1.30E-04 1.57 3.37E-03 8.71E-03 0.123 5.63E-03 3.05E-02 0.285 0.135 1.43E-02 0.131 1.98
20 6.22 7.36E-04 6.24 0.376 4.79E-03 0.174 2.34E-04 3.44 4.24E-03 1.79E-03 0.412 6.75E-03 0.124 0.299 0.132 1.57E-02 0.152 2.38
30 8.10 9.53E-04 14.52 1.358 6.24E-03 0.329 2.39E-04 2.38 9.12E-03 4.70E-03 0.3565 0.326375 9.98E-02 0.236 0.112 1.49E-02 0.178 1.97
40 9.98 1.17E-03 22.79 2.34 7.69E-03 0.484 2.43E-04 1.32 1.40E-02 7.61E-03 0.301 0.646 7.56E-02 0.173 9.11E-02 1.40E-02 0.203 1.55
60 14.06 6.47E-04 36.03 3.66 1.14E-02 1.06 2.19E-04 1.73 3.39E-02 3.67E-04 0.448 0.562 0.111 0.217 0.106 1.50E-02 0.238 1.70
100 26.74 8.60E-04 60.90 3.79 1.94E-02 1.79 2.78E-04 2.14 5.52E-02 3.23E-02 0.594 1.27 0.157 0.281 0.146 2.12E-02 0.357 1.68
120 38.07 1.15E-03 68.39 3.82 2.61E-02 2.11 3.20E-04 2.60 6.31E-02 0.177 0.669 1.27 0.180 0.314 0.166 2.42E-02 0.416 1.68
150 44.58 8.25E-03 94.29 1.14 1.11E-02 3.02 1.01E-03 3.00 7.87E-04 4.54E-03 0.813 7.51E-02 0.221 0.367 0.194 2.79E-02 0.494 1.74
200 87.44 1.10E-02 98.84 1.45 1.48E-02 4.07 1.31E-03 3.66 1.05E-03 6.06E-03 1.00 0.101 0.280 0.449 0.243 3.54E-02 0.641 1.74
300 140.9 1.65E-02 140.2 2.07 2.22E-02 6.17 1.92E-03 4.98 1.58E-03 9.08E-03 1.39 0.152 0.398 0.612 0.342 5.03E-02 0.933 1.74
500 246.6 2.75E-02 224.1 3.30 3.70E-02 10.37 3.14E-03 7.62 2.62E-03 1.51E-02 2.15 0.255 0.634 0.938 0.540 8.03E-02 1.52 1.74
1000 478.2 5.50E-02 466.6 6.39 7.40E-02 20.88 6.19E-03 14.23 5.25E-03 3.03E-02 4.06 0.511 1.22 1.75 1.04 0.155 2.98 1.74
