M 1H 3He 4He 12C 13C 14N 15N 16O 17O 18O 20Ne 22Ne 24Mg 28Si 32S 40Ca 56Fe Mr
6 3.02 2.46E-04 1.58 1.60E-02 8.49E-04 1.84E-02 1.18E-05 4.38E-02 5.24E-04 8.83E-05 9.64E-04 2.57E-04 NaN NaN NaN NaN NaN 1.30
7 3.44 2.34E-04 2.15 1.79E-02 1.00E-03 2.72E-02 1.32E-05 4.97E-02 5.71E-04 9.89E-05 1.17E-03 2.99E-04 NaN NaN NaN NaN NaN 1.30
9 4.18 2.28E-04 2.99 7.27E-02 1.29E-03 4.02E-02 4.85E-05 0.178 0.748E-04 1.18E-04 1.95E-02 1.50E-03 6.64E-03 7.62E-02 6.22E-02 1.18E-02 5.68E-02 1.31
12 5.20 2.45E-04 3.95 0.170 1.65E-03 5.46E-02 1.12E-04 0.712 0.827E-04 1.49E-04 0.123 1.92E-03 2.78E-02 0.111 6.11E-02 1.04E-02 0.121 1.44
15 6.18 2.65E-04 4.70 0.266 1.95E-03 6.68E-02 1.02E-04 1.273 0.882E-04 1.66E-04 0.175 2.28E-03 3.62E-02 0.213 9.46E-02 1.03E-02 9.79E-02 1.87
20 7.75 3.23E-04 6.01 0.279 2.06E-03 8.84E-02 1.65E-04 2.76 1.04E-03 1.99E-04 0.214 2.89E-03 6.91E-02 0.335 0.156 1.68E-02 0.186 2.11
30 10.30 3.96E-04 8.28 0.307 2.01E-03 0.128 9.46E-05 3.08 1.45E-03 2.32E-04 0.500 3.89E-03 0.124 4.07E-02 9.02E-03 1.17E-03 2.22E-02 7.18
40 12.52 4.72E-04 19.05 3.03 3.61E-03 0.211 1.35E-04 2.05 3.37E-03 7.00E-03 0.135 0.282 3.86E-02 0.298 0.154 1.53E-02 0.133 2.06
60 16.49 5.27E-04 32.14 4.93 5.41E-03 0.343 1.81E-04 2.66 3.84E-03 2.89E-04 0.138 0.336 5.60E-02 0.360 0.181 1.87E-02 0.234 2.09
100 23.97 5.51E-04 55.48 11.40 9.79E-03 0.682 2.55E-04 4.27 5.58E-03 3.04E-04 0.455 0.613 0.130 0.371 0.176 2.13E-02 0.251 2.12
120 28.72 1.37E-03 74.03 8.63 1.16E-02 1.01 3.25E-04 3.52 2.17E-03 7.53E-04 0.349 0.542 0.113 0.402 0.197 2.28E-02 0.307 2.11
150 52.39 3.30E-03 88.62 0.614 4.44E-03 1.17 5.04E-04 3.50 3.15E-04 1.82E-03 0.429 2.95E-02 0.134 0.417 0.206 2.46E-02 0.334 2.11
200 96.71 4.40E-03 94.51 0.672 5.92E-03 1.61 5.73E-04 2.89 4.20E-04 2.42E-03 0.379 4.01E-02 0.116 0.406 0.223 2.51E-02 0.317 2.09
300 155.3 6.60E-03 133.4 0.919 8.88E-03 2.45 8.17E-04 3.42 6.30E-04 3.63E-03 0.531 6.06E-02 0.613 0.471 0.263 3.11E-02 0.434 2.09
500 281.4 1.10E-02 202.9 1.44 1.48E-02 4.12 1.33E-03 4.90 1.05E-03 6.05E-03 0.799 0.101 0.266 0.668 0.361 4.59E-02 0.784 2.09
1000 553.8 2.20E-02 420.2 2.67 2.96E-02 8.32 2.55E-03 7.54 2.10E-03 1.21E-02 1.56 0.204 0.502 0.994 0.559 7.59E-02 1.37 2.09
