M 1H 3He 4He 12C 13C 14N 15N 16O 17O 18O 20Ne 22Ne 24Mg 28Si 32S 40Ca 56Fe Mr
6 3.15 1.97E-04 1.51 5.97E-03 3.30E-04 8.53E-03 4.43E-06 1.69E-02 1.09E-04 3.33E-05 3.86E-04 1.03E-04 NaN NaN NaN NaN NaN 1.30
7 3.59 1.80E-04 2.06 6.73E-03 3.98E-04 1.21E-02 4.93E-06 1.91E-02 1.25E-04 3.79E-05 4.68E-04 1.20E-04 NaN NaN NaN NaN NaN 1.30
9 4.40 1.60E-04 2.52 0.259 5.06E-04 1.47E-02 2.21E-05 0.220 1.69E-04 5.25E-04 8.34E-03 3.25E-03 3.68E-03 4.12E-02 2.81E-02 5.68E-03 0.139 1.35
12 5.50 1.80E-04 3.67 0.168 6.69E-04 2.32E-02 7.17E-05 0.696 2.28E-05 1.91E-04 0.119 7.62E-04 3.42E-02 9.48E-02 4.50E-02 7.55E-03 0.158 1.48
15 6.49 1.78E-04 4.45 0.248 7.84E-04 2.92E-02 7.79E-05 1.31 2.79E-05 6.39E-05 0.143 9.13E-04 5.18E-02 0.204 9.92E-02 1.33E-02 0.120 1.84
20 8.27 1.55E-04 5.59 0.271 1.03E-03 3.67E-02 1.39E-04 2.85 2.42E-04 7.94E-05 0.107 1.15E-03 4.42E-02 0.372 0.195 2.01E-02 0.194 2.04
30 11.23 1.14E-04 7.75 0.313 8.34E-04 5.79E-02 6.87E-05 3.06 4.84E-04 5.71E-05 0.502 1.57E-03 0.133 2.93E-02 4.14E-03 5.03E-04 8.96E-03 6.90
40 13.90 2.19E-04 10.19 0.352 1.02E-03 7.69E-02 3.36E-05 2.21 4.89E-04 1.19E-04 0.656 1.99E-03 6.74E-03 6.35E-03 4.04E-03 6.25E-04 1.14E-02 12.5
60 18.91 2.67E-04 22.35 7.33 2.02E-03 0.133 1.04E-04 4.78 7.08E-04 2.33E-03 0.517 9.59E-03 0.184 5.35E-02 9.73E-03 1.24E-03 2.34E-02 5.69
100 26.36 3.23E-04 40.35 15.74 3.91E-03 0.277 9.15E-05 7.71 8.03E-04 9.05E-04 0.60 0.203 0.116 4.01E-02 1.491E-02 2.15E-03 4.11E-02 8.49
120 30.08 3.51E-04 49.35 19.95 4.85E-03 0.349 8.52E-05 9.17 8.51E-04 1.93E-04 0.638 0.300 8.17E-02 3.34E-02 1.75E-02 2.60E-03 4.99E-02 9.89
150 55.54 1.32E-03 80.25 0.460 1.78E-03 0.423 1.75E-04 2.86 1.26E-04 7.27E-04 0.636 1.12E-02 9.16E-02 4.42E-02 2.22E-02 3.32E-03 6.41E-02 9.57
200 80.98 1.76E-03 104.4 0.509 2.37E-03 0.592 2.24E-04 2.97 1.68E-04 9.69E-04 0.667 1.53E-02 0.101 5.73E-02 3.02E-02 4.52E-03 8.75E-02 9.57
300 159.1 2.64E-03 131.9 0.572 3.35E-03 0.968 4.31E-04 3.81 2.52E-04 1.45E-03 0.433 2.41E-02 0.158 0.383 0.197 2.28E-02 0.279 2.15
500 292.9 4.40E-03 195.0 0.778 5.92E-03 1.63 6.13E-04 4.92 4.20E-04 2.42E-03 0.841 4.04E-02 0.361 0.227 9.48E-02 1.35E-02 0.244 2.96
1000 582.7 8.80E-03 401.1 1.27 1.18E-02 3.31 1.10E-03 5.97 8.40E-04 4.84E-03 1.14 8.14E-02 0.456 0.358 0.174 2.55E-02 0.478 2.96
